[2025-05-11 15:21:42] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:21:46] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:23:36] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:03] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:42] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:42] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 15:24:42] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
