[2025-04-05 14:58:02] DOMAIN: www.gayscape.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.gayscape.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.gayscape.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: secure.friendfinder.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: secure.friendfinder.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: secure.friendfinder.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: secure.friendfinder.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: secure.friendfinder.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.freespeechcoalition.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.freespeechcoalition.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.freespeechcoalition.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.freespeechcoalition.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.freespeechcoalition.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
